Date,Message
2025-07-28T09:55:00.000-00:00,"12.3,12.27,12.3,12.27,1039"
2025-07-28T10:00:00.000-00:00,"12.29,12.27,12.29,12.27,456"
2025-07-28T10:05:00.000-00:00,"12.27,12.29,12.29,12.25,17269"
2025-07-28T10:10:00.000-00:00,"12.26,12.25,12.28,12.25,24290"
2025-07-28T10:15:00.000-00:00,"12.25,12.2,12.25,12.16,127490"
2025-07-28T10:20:00.000-00:00,"12.2,12.2,12.27,12.2,9237"
2025-07-28T10:25:00.000-00:00,"12.2,12.15,12.25,12.15,63067"
2025-07-28T10:30:00.000-00:00,"12.16,12.2,12.2,12.16,19702"
2025-07-28T10:35:00.000-00:00,"12.2,12.2,12.2,12.2,8404"
2025-07-28T10:40:00.000-00:00,"12.2,12.17,12.2,12.17,1425"
2025-07-28T10:45:00.000-00:00,"12.2,12.2,12.2,12.16,16530"
2025-07-28T10:50:00.000-00:00,"12.16,12.11,12.19,12.1,59367"
2025-07-28T10:55:00.000-00:00,"12.12,12.1,12.12,12.1,13750"
2025-07-28T11:00:00.000-00:00,"12.12,12.05,12.14,12.05,58819"
2025-07-28T11:05:00.000-00:00,"12.08,12.09,12.14,12.03,40717"
2025-07-28T11:10:00.000-00:00,"12.09,12.14,12.14,12.02,53006"
2025-07-28T11:25:00.000-00:00,"12.04,12.04,12.04,12.04,13189"
2025-07-29T07:00:00.000-00:00,"12.12,12.1,12.12,12.08,15441"
2025-07-29T07:05:00.000-00:00,"12.1,12.1,12.1,12.1,1000"
2025-07-29T07:10:00.000-00:00,"12.13,12.13,12.14,12.13,8973"
2025-07-29T07:15:00.000-00:00,"12.11,12.13,12.13,12.1,1483"
2025-07-29T07:20:00.000-00:00,"12.12,12.12,12.12,12.12,3681"
2025-07-29T07:25:00.000-00:00,"12.12,12.18,12.18,12.11,21223"
2025-07-29T07:30:00.000-00:00,"12.17,12.2,12.21,12.11,85408"
2025-07-29T07:35:00.000-00:00,"12.2,12.11,12.2,12.11,17158"
2025-07-29T07:40:00.000-00:00,"12.19,12.19,12.19,12.19,41"
2025-07-29T07:45:00.000-00:00,"12.19,12.19,12.19,12.19,300"
2025-07-29T07:55:00.000-00:00,"12.12,12.12,12.12,12.12,1850"
2025-07-29T08:00:00.000-00:00,"12.17,12.19,12.19,12.16,85777"
2025-07-29T08:05:00.000-00:00,"12.19,12.2,12.21,12.15,40025"
2025-07-29T08:10:00.000-00:00,"12.2,12.17,12.2,12.17,11047"
2025-07-29T08:15:00.000-00:00,"12.13,12.19,12.2,12.11,5083"
2025-07-29T08:20:00.000-00:00,"12.17,12.18,12.18,12.11,22261"
2025-07-29T08:30:00.000-00:00,"12.15,12.11,12.15,12.11,11087"
2025-07-29T08:35:00.000-00:00,"12.11,12.14,12.15,12.1,11822"
2025-07-29T08:40:00.000-00:00,"12.14,12.14,12.14,12.14,2553"
2025-07-29T08:45:00.000-00:00,"12.12,12.14,12.14,12.11,3170"
2025-07-29T08:50:00.000-00:00,"12.14,12.15,12.15,12.14,580"
2025-07-29T08:55:00.000-00:00,"12.15,12.15,12.15,12.15,200"
2025-07-29T09:00:00.000-00:00,"12.15,12.15,12.15,12.15,1860"
2025-07-29T09:05:00.000-00:00,"12.15,12.1,12.15,12.1,5487"
2025-07-29T09:10:00.000-00:00,"12.1,12.14,12.14,12.1,32000"
2025-07-29T09:15:00.000-00:00,"12.12,12.12,12.12,12.12,100"
2025-07-29T09:20:00.000-00:00,"12.12,12.12,12.14,12.12,910"
2025-07-29T09:25:00.000-00:00,"12.12,12.12,12.12,12.12,190"
2025-07-29T09:30:00.000-00:00,"12.14,12.14,12.14,12.14,92"
2025-07-29T09:35:00.000-00:00,"12.11,12.11,12.11,12.11,5000"
2025-07-29T09:40:00.000-00:00,"12.14,12.11,12.14,12.11,6736"
2025-07-29T09:45:00.000-00:00,"12.11,12.14,12.14,12.11,450"
2025-07-29T09:50:00.000-00:00,"12.14,12.14,12.14,12.14,75"
2025-07-29T09:55:00.000-00:00,"12.14,12.14,12.14,12.14,366"
2025-07-29T10:00:00.000-00:00,"12.11,12.14,12.14,12.09,16703"
2025-07-29T10:05:00.000-00:00,"12.1,12.1,12.1,12.1,1250"
2025-07-29T10:10:00.000-00:00,"12.1,12.1,12.1,12.09,3876"
2025-07-29T10:15:00.000-00:00,"12.1,12.07,12.1,12.07,21191"
2025-07-29T10:20:00.000-00:00,"12.07,12.1,12.1,12.07,6228"
2025-07-29T10:25:00.000-00:00,"12.1,12.1,12.1,12.1,50"
2025-07-29T10:30:00.000-00:00,"12.1,12.15,12.15,12.1,21048"
2025-07-29T10:35:00.000-00:00,"12.12,12.12,12.12,12.12,95"
2025-07-29T10:40:00.000-00:00,"12.14,12.12,12.14,12.12,692"
2025-07-29T10:45:00.000-00:00,"12.14,12.12,12.14,12.12,8000"
2025-07-29T10:50:00.000-00:00,"12.14,12.15,12.16,12.12,32789"
2025-07-29T10:55:00.000-00:00,"12.16,12.15,12.18,12.13,98225"
2025-07-29T11:00:00.000-00:00,"12.15,12.15,12.15,12.15,10030"
2025-07-29T11:05:00.000-00:00,"12.18,12.2,12.2,12.18,73527"
2025-07-29T11:10:00.000-00:00,"12.21,12.3,12.3,12.21,46509"
2025-07-29T11:25:00.000-00:00,"12.3,12.3,12.3,12.3,182343"
2025-07-30T07:00:00.000-00:00,"12.39,12.37,12.39,12.37,1367"
2025-07-30T07:05:00.000-00:00,"12.36,12.3,12.37,12.3,9237"
2025-07-30T07:10:00.000-00:00,"12.35,12.25,12.37,12.25,4802"
2025-07-30T07:15:00.000-00:00,"12.36,12.37,12.37,12.26,3874"
2025-07-30T07:20:00.000-00:00,"12.37,12.36,12.37,12.28,653"
2025-07-30T07:25:00.000-00:00,"12.28,12.28,12.28,12.28,280"
2025-07-30T07:30:00.000-00:00,"12.28,12.3,12.35,12.28,15296"
2025-07-30T07:35:00.000-00:00,"12.34,12.34,12.35,12.34,9776"
2025-07-30T07:40:00.000-00:00,"12.28,12.3,12.3,12.28,11620"
2025-07-30T07:45:00.000-00:00,"12.34,12.35,12.35,12.32,13850"
2025-07-30T07:50:00.000-00:00,"12.34,12.35,12.35,12.31,10626"
2025-07-30T07:55:00.000-00:00,"12.35,12.35,12.35,12.35,3011"
2025-07-30T08:00:00.000-00:00,"12.31,12.31,12.31,12.3,17214"
2025-07-30T08:05:00.000-00:00,"12.33,12.34,12.34,12.33,307"
2025-07-30T08:10:00.000-00:00,"12.31,12.34,12.34,12.31,508"
2025-07-30T08:15:00.000-00:00,"12.32,12.33,12.33,12.3,19939"
2025-07-30T08:20:00.000-00:00,"12.34,12.31,12.34,12.31,953"
2025-07-30T08:25:00.000-00:00,"12.34,12.31,12.34,12.31,8493"
2025-07-30T08:30:00.000-00:00,"12.32,12.36,12.36,12.32,22300"
2025-07-30T08:35:00.000-00:00,"12.36,12.31,12.37,12.31,4039"
2025-07-30T08:40:00.000-00:00,"12.31,12.3,12.31,12.3,33748"
2025-07-30T08:50:00.000-00:00,"12.36,12.32,12.37,12.31,12242"
2025-07-30T08:55:00.000-00:00,"12.32,12.3,12.32,12.3,14242"
2025-07-30T09:00:00.000-00:00,"12.29,12.29,12.29,12.28,1400"
2025-07-30T09:05:00.000-00:00,"12.29,12.3,12.3,12.29,629"
2025-07-30T09:10:00.000-00:00,"12.3,12.3,12.3,12.29,9000"
2025-07-30T09:15:00.000-00:00,"12.31,12.31,12.31,12.31,2150"
2025-07-30T09:20:00.000-00:00,"12.31,12.32,12.32,12.31,4761"
2025-07-30T09:25:00.000-00:00,"12.32,12.32,12.32,12.32,306"
2025-07-30T09:30:00.000-00:00,"12.32,12.32,12.32,12.31,2900"
2025-07-30T09:35:00.000-00:00,"12.35,12.35,12.36,12.31,7088"
2025-07-30T09:45:00.000-00:00,"12.32,12.33,12.34,12.3,22575"
2025-07-30T09:50:00.000-00:00,"12.33,12.3,12.33,12.3,30438"
2025-07-30T09:55:00.000-00:00,"12.3,12.3,12.3,12.3,22910"
2025-07-30T10:00:00.000-00:00,"12.28,12.26,12.32,12.26,35356"
2025-07-30T10:05:00.000-00:00,"12.26,12.29,12.29,12.25,25536"
2025-07-30T10:10:00.000-00:00,"12.25,12.18,12.25,12.18,19926"
2025-07-30T10:15:00.000-00:00,"12.2,12.2,12.2,12.19,23668"
2025-07-30T10:20:00.000-00:00,"12.19,12.13,12.19,12.13,56537"
2025-07-30T10:25:00.000-00:00,"12.13,12.1,12.13,12.1,49941"
2025-07-30T10:30:00.000-00:00,"12.11,12.1,12.11,12.1,40000"
2025-07-30T10:35:00.000-00:00,"12.1,12.12,12.15,12.1,11193"
2025-07-30T10:40:00.000-00:00,"12.15,12.15,12.15,12.15,9993"
2025-07-30T10:45:00.000-00:00,"12.15,12.13,12.15,12.13,18409"
2025-07-30T10:50:00.000-00:00,"12.15,12.1,12.15,12.1,25800"
2025-07-30T10:55:00.000-00:00,"12.1,12.1,12.1,12.09,5377"
2025-07-30T11:00:00.000-00:00,"12.09,12.09,12.1,12.05,41378"
2025-07-30T11:05:00.000-00:00,"12.1,12.02,12.1,12.02,47034"
2025-07-30T11:10:00.000-00:00,"12.03,11.87,12.09,11.87,135578"
2025-07-30T11:15:00.000-00:00,"12.02,12.14,12.14,11.9,6666"
2025-07-30T11:25:00.000-00:00,"11.9,11.9,11.9,11.9,24680"
2025-07-31T07:00:00.000-00:00,"12.04,12.04,12.04,12.03,7880"
2025-07-31T07:05:00.000-00:00,"12.03,12.05,12.05,12,14046"
2025-07-31T07:10:00.000-00:00,"12.04,12.01,12.04,12.01,333"
2025-07-31T07:15:00.000-00:00,"12.03,12,12.04,12,10050"
2025-07-31T07:20:00.000-00:00,"12,12.03,12.03,12,2029"
2025-07-31T07:25:00.000-00:00,"12.03,12.03,12.03,12.03,4094"
2025-07-31T07:30:00.000-00:00,"12.01,12.04,12.04,12.01,6470"
2025-07-31T07:35:00.000-00:00,"12.04,12.01,12.04,12.01,55"
2025-07-31T07:40:00.000-00:00,"12.04,12.04,12.04,12.04,400"
2025-07-31T07:45:00.000-00:00,"12.04,12.02,12.04,12.02,3093"
2025-07-31T07:50:00.000-00:00,"12.02,12.07,12.07,12.02,24623"
2025-07-31T07:55:00.000-00:00,"12.07,12.06,12.07,12.06,3032"
2025-07-31T08:00:00.000-00:00,"12.06,12.09,12.09,12.05,3004"
2025-07-31T08:05:00.000-00:00,"12.09,12.05,12.09,12.05,10326"
2025-07-31T08:10:00.000-00:00,"12.05,12.04,12.05,12.04,16972"
2025-07-31T08:15:00.000-00:00,"12.04,12.04,12.04,12.04,3"
2025-07-31T08:20:00.000-00:00,"12.04,12.01,12.04,11.99,29360"
2025-07-31T08:25:00.000-00:00,"12.01,12.03,12.03,12.01,1608"
2025-07-31T08:35:00.000-00:00,"12.01,12,12.01,12,8843"
2025-07-31T08:40:00.000-00:00,"11.99,11.99,11.99,11.99,839"
2025-07-31T08:45:00.000-00:00,"11.97,11.95,11.97,11.95,8562"
2025-07-31T08:50:00.000-00:00,"11.95,11.92,11.97,11.92,34480"
2025-07-31T08:55:00.000-00:00,"11.92,11.95,11.95,11.91,12887"
2025-07-31T09:00:00.000-00:00,"11.94,11.94,11.94,11.94,997"
2025-07-31T09:05:00.000-00:00,"12,12,12.01,11.92,6112"
2025-07-31T09:10:00.000-00:00,"12,11.93,12,11.93,30934"
2025-07-31T09:15:00.000-00:00,"11.99,12,12,11.99,6938"
2025-07-31T09:20:00.000-00:00,"12,12,12.01,12,34717"
2025-07-31T09:25:00.000-00:00,"11.96,12,12.01,11.96,16256"
2025-07-31T09:30:00.000-00:00,"12,12,12,11.98,16500"
2025-07-31T09:35:00.000-00:00,"12,11.99,12,11.99,1822"
2025-07-31T09:40:00.000-00:00,"11.99,12,12,11.92,25025"
2025-07-31T09:45:00.000-00:00,"11.99,11.99,11.99,11.99,2000"
2025-07-31T09:50:00.000-00:00,"11.99,12,12,11.97,14030"
2025-07-31T09:55:00.000-00:00,"12,12.02,12.03,12,13741"
2025-07-31T10:00:00.000-00:00,"12.02,12.07,12.07,12.02,29922"
2025-07-31T10:05:00.000-00:00,"12.07,12.02,12.1,12.02,1001"
2025-07-31T10:10:00.000-00:00,"12.05,12.1,12.1,12.03,17268"
2025-07-31T10:15:00.000-00:00,"12.1,12.1,12.1,12.1,5817"
2025-07-31T10:20:00.000-00:00,"12.1,12.1,12.1,12.1,1030"
2025-07-31T10:25:00.000-00:00,"12.1,12.1,12.1,12.1,6170"
2025-07-31T10:30:00.000-00:00,"12.1,12.1,12.12,12.02,20474"
2025-07-31T10:35:00.000-00:00,"12.12,12.1,12.12,12.1,8535"
2025-07-31T10:40:00.000-00:00,"12.1,12.1,12.1,12.1,18460"
2025-07-31T10:45:00.000-00:00,"12.1,12.1,12.11,12.1,851"
2025-07-31T10:50:00.000-00:00,"12.1,12.11,12.11,12.1,11101"
2025-07-31T10:55:00.000-00:00,"12.11,12.06,12.11,12.06,13709"
2025-07-31T11:00:00.000-00:00,"12.07,12.1,12.1,12.01,78808"
2025-07-31T11:05:00.000-00:00,"12.1,12.1,12.14,12.1,50494"
2025-07-31T11:10:00.000-00:00,"12.11,12.13,12.15,12.1,24840"
2025-07-31T11:25:00.000-00:00,"12.2,12.2,12.2,12.2,94975"
2025-08-03T07:00:00.000-00:00,"12.19,12.13,12.25,12.12,25316"
2025-08-03T07:05:00.000-00:00,"12.13,12.19,12.19,12.12,18089"
2025-08-03T07:10:00.000-00:00,"12.14,12.2,12.2,12.13,9368"
2025-08-03T07:15:00.000-00:00,"12.2,12.24,12.24,12.2,14038"
2025-08-03T07:20:00.000-00:00,"12.23,12.21,12.25,12.21,14380"
2025-08-03T07:25:00.000-00:00,"12.19,12.24,12.24,12.19,7019"
2025-08-03T07:30:00.000-00:00,"12.24,12.2,12.25,12.2,18685"
2025-08-03T07:35:00.000-00:00,"12.18,12.2,12.2,12.18,17832"
2025-08-03T07:40:00.000-00:00,"12.22,12.21,12.23,12.18,11463"
2025-08-03T07:45:00.000-00:00,"12.2,12.22,12.22,12.2,15623"
2025-08-03T07:50:00.000-00:00,"12.22,12.23,12.23,12.22,14238"
