Date,Message
2025-07-30T08:20:00.000-00:00,"8.22,8.25,8.25,8.21,531668"
2025-07-30T08:25:00.000-00:00,"8.25,8.22,8.25,8.22,25019"
2025-07-30T08:30:00.000-00:00,"8.22,8.24,8.25,8.22,27653"
2025-07-30T08:35:00.000-00:00,"8.24,8.23,8.26,8.22,368334"
2025-07-30T08:40:00.000-00:00,"8.23,8.22,8.24,8.21,193155"
2025-07-30T08:45:00.000-00:00,"8.22,8.23,8.23,8.22,89705"
2025-07-30T08:50:00.000-00:00,"8.22,8.23,8.23,8.22,177293"
2025-07-30T08:55:00.000-00:00,"8.24,8.25,8.25,8.22,150887"
2025-07-30T09:00:00.000-00:00,"8.23,8.23,8.23,8.22,58685"
2025-07-30T09:05:00.000-00:00,"8.23,8.22,8.23,8.21,198881"
2025-07-30T09:10:00.000-00:00,"8.22,8.22,8.23,8.21,29089"
2025-07-30T09:15:00.000-00:00,"8.21,8.25,8.25,8.21,195043"
2025-07-30T09:20:00.000-00:00,"8.25,8.21,8.25,8.2,1343504"
2025-07-30T09:25:00.000-00:00,"8.22,8.23,8.24,8.21,123003"
2025-07-30T09:30:00.000-00:00,"8.23,8.22,8.23,8.21,88046"
2025-07-30T09:35:00.000-00:00,"8.22,8.23,8.23,8.22,61981"
2025-07-30T09:40:00.000-00:00,"8.23,8.2,8.24,8.2,531655"
2025-07-30T09:45:00.000-00:00,"8.22,8.2,8.22,8.2,276487"
2025-07-30T09:50:00.000-00:00,"8.22,8.2,8.22,8.17,373099"
2025-07-30T09:55:00.000-00:00,"8.19,8.15,8.2,8.15,574649"
2025-07-30T10:00:00.000-00:00,"8.16,8.15,8.18,8.14,393451"
2025-07-30T10:05:00.000-00:00,"8.15,8.17,8.17,8.15,340576"
2025-07-30T10:10:00.000-00:00,"8.17,8.17,8.18,8.14,225217"
2025-07-30T10:15:00.000-00:00,"8.15,8.15,8.17,8.15,96694"
2025-07-30T10:20:00.000-00:00,"8.15,8.18,8.18,8.15,138621"
2025-07-30T10:25:00.000-00:00,"8.17,8.16,8.18,8.16,58416"
2025-07-30T10:30:00.000-00:00,"8.16,8.13,8.16,8.13,358353"
2025-07-30T10:35:00.000-00:00,"8.13,8.13,8.15,8.13,116295"
2025-07-30T10:40:00.000-00:00,"8.14,8.14,8.14,8.12,445798"
2025-07-30T10:45:00.000-00:00,"8.13,8.14,8.15,8.13,167816"
2025-07-30T10:50:00.000-00:00,"8.14,8.12,8.14,8.12,147381"
2025-07-30T10:55:00.000-00:00,"8.13,8.08,8.13,8.08,908582"
2025-07-30T11:00:00.000-00:00,"8.08,8.09,8.09,8.06,398598"
2025-07-30T11:05:00.000-00:00,"8.07,8.1,8.1,8.05,1235237"
2025-07-30T11:10:00.000-00:00,"8.1,8.1,8.11,8.08,456901"
2025-07-30T11:15:00.000-00:00,"8.1,8.1,8.1,8.1,165141"
2025-07-30T11:25:00.000-00:00,"8.16,8.16,8.16,8.16,1426335"
2025-07-31T07:00:00.000-00:00,"8.24,8.2,8.25,8.18,421354"
2025-07-31T07:05:00.000-00:00,"8.2,8.23,8.23,8.19,2031731"
2025-07-31T07:10:00.000-00:00,"8.23,8.22,8.24,8.22,258426"
2025-07-31T07:15:00.000-00:00,"8.22,8.21,8.23,8.21,187489"
2025-07-31T07:20:00.000-00:00,"8.21,8.2,8.22,8.2,180766"
2025-07-31T07:25:00.000-00:00,"8.2,8.21,8.22,8.19,349023"
2025-07-31T07:30:00.000-00:00,"8.21,8.22,8.25,8.21,172642"
2025-07-31T07:35:00.000-00:00,"8.22,8.22,8.22,8.22,31810"
2025-07-31T07:40:00.000-00:00,"8.22,8.21,8.22,8.2,448623"
2025-07-31T07:45:00.000-00:00,"8.21,8.25,8.26,8.21,449004"
2025-07-31T07:50:00.000-00:00,"8.25,8.23,8.25,8.23,317721"
2025-07-31T07:55:00.000-00:00,"8.25,8.22,8.25,8.22,55845"
2025-07-31T08:00:00.000-00:00,"8.22,8.23,8.24,8.22,42708"
2025-07-31T08:05:00.000-00:00,"8.22,8.23,8.24,8.22,50948"
2025-07-31T08:10:00.000-00:00,"8.22,8.22,8.22,8.21,235740"
2025-07-31T08:15:00.000-00:00,"8.21,8.19,8.21,8.19,346035"
2025-07-31T08:20:00.000-00:00,"8.2,8.19,8.2,8.19,513275"
2025-07-31T08:25:00.000-00:00,"8.19,8.2,8.2,8.19,164842"
2025-07-31T08:30:00.000-00:00,"8.2,8.21,8.21,8.2,202004"
2025-07-31T08:35:00.000-00:00,"8.2,8.19,8.21,8.19,60317"
2025-07-31T08:40:00.000-00:00,"8.19,8.2,8.21,8.19,84516"
2025-07-31T08:45:00.000-00:00,"8.21,8.2,8.22,8.2,65665"
2025-07-31T08:50:00.000-00:00,"8.19,8.2,8.2,8.19,163968"
2025-07-31T08:55:00.000-00:00,"8.19,8.2,8.21,8.19,118205"
2025-07-31T09:00:00.000-00:00,"8.2,8.2,8.21,8.19,75668"
2025-07-31T09:05:00.000-00:00,"8.2,8.22,8.22,8.2,90415"
2025-07-31T09:10:00.000-00:00,"8.22,8.2,8.22,8.2,31831"
2025-07-31T09:15:00.000-00:00,"8.19,8.19,8.19,8.18,432980"
2025-07-31T09:20:00.000-00:00,"8.18,8.17,8.18,8.16,484105"
2025-07-31T09:25:00.000-00:00,"8.17,8.27,8.28,8.17,1869955"
2025-07-31T09:30:00.000-00:00,"8.22,8.23,8.24,8.21,202351"
2025-07-31T09:35:00.000-00:00,"8.23,8.23,8.23,8.21,27062"
2025-07-31T09:40:00.000-00:00,"8.22,8.24,8.24,8.21,65134"
2025-07-31T09:45:00.000-00:00,"8.22,8.22,8.23,8.22,151330"
2025-07-31T09:50:00.000-00:00,"8.22,8.23,8.23,8.22,146398"
2025-07-31T09:55:00.000-00:00,"8.23,8.24,8.24,8.23,136789"
2025-07-31T10:00:00.000-00:00,"8.23,8.23,8.24,8.23,139749"
2025-07-31T10:05:00.000-00:00,"8.24,8.24,8.25,8.23,397647"
2025-07-31T10:10:00.000-00:00,"8.25,8.24,8.25,8.24,105404"
2025-07-31T10:15:00.000-00:00,"8.24,8.23,8.24,8.23,142085"
2025-07-31T10:20:00.000-00:00,"8.23,8.22,8.24,8.2,1063233"
2025-07-31T10:25:00.000-00:00,"8.22,8.21,8.23,8.2,855659"
2025-07-31T10:30:00.000-00:00,"8.21,8.22,8.23,8.2,604000"
2025-07-31T10:35:00.000-00:00,"8.23,8.22,8.24,8.21,724349"
2025-07-31T10:40:00.000-00:00,"8.23,8.21,8.23,8.21,129297"
2025-07-31T10:45:00.000-00:00,"8.22,8.23,8.23,8.22,32871"
2025-07-31T10:50:00.000-00:00,"8.23,8.25,8.25,8.22,889409"
2025-07-31T10:55:00.000-00:00,"8.25,8.26,8.27,8.25,857219"
2025-07-31T11:00:00.000-00:00,"8.26,8.25,8.27,8.24,773274"
2025-07-31T11:05:00.000-00:00,"8.25,8.27,8.27,8.25,463566"
2025-07-31T11:10:00.000-00:00,"8.27,8.3,8.31,8.26,1255346"
2025-07-31T11:25:00.000-00:00,"8.29,8.29,8.29,8.29,1030331"
2025-08-03T07:00:00.000-00:00,"8.32,8.28,8.34,8.28,149818"
2025-08-03T07:05:00.000-00:00,"8.28,8.29,8.3,8.26,44687"
2025-08-03T07:10:00.000-00:00,"8.29,8.29,8.29,8.27,33217"
2025-08-03T07:15:00.000-00:00,"8.3,8.3,8.31,8.29,121276"
2025-08-03T07:20:00.000-00:00,"8.3,8.29,8.3,8.26,73356"
2025-08-03T07:25:00.000-00:00,"8.29,8.29,8.29,8.27,33458"
2025-08-03T07:30:00.000-00:00,"8.3,8.32,8.33,8.3,282084"
2025-08-03T07:35:00.000-00:00,"8.32,8.33,8.34,8.3,432573"
2025-08-03T07:40:00.000-00:00,"8.33,8.3,8.35,8.3,414852"
2025-08-03T07:45:00.000-00:00,"8.31,8.3,8.33,8.3,111915"
2025-08-03T07:50:00.000-00:00,"8.3,8.3,8.3,8.28,143879"
2025-08-03T07:55:00.000-00:00,"8.3,8.3,8.3,8.29,102233"
2025-08-03T08:00:00.000-00:00,"8.29,8.29,8.32,8.29,175746"
2025-08-03T08:05:00.000-00:00,"8.29,8.23,8.29,8.23,334682"
2025-08-03T08:10:00.000-00:00,"8.24,8.28,8.28,8.23,108285"
2025-08-03T08:15:00.000-00:00,"8.28,8.3,8.3,8.24,298554"
2025-08-03T08:20:00.000-00:00,"8.26,8.29,8.29,8.25,101841"
2025-08-03T08:25:00.000-00:00,"8.26,8.28,8.28,8.26,9159"
2025-08-03T08:30:00.000-00:00,"8.28,8.24,8.29,8.24,149766"
2025-08-03T08:35:00.000-00:00,"8.25,8.25,8.25,8.25,446"
